Movie_Name,Review
Avengers,"Amazing movie with outstanding action scenes."
Avengers,"The story was emotional and very well executed."
Avengers,"Best superhero movie I have watched."
Avengers,"Excellent visual effects and acting."
Avengers,"I loved every minute of the film."
Avengers,"The movie was too long and boring at times."
Avengers,"Average storyline but good action."
Avengers,"Fantastic ending that made me emotional."
Avengers,"Not as good as expected."
Avengers,"Great performances by all the actors."
Three Idiots,"Very inspiring and motivational movie."
Three Idiots,"One of the best educational films ever made."
Three Idiots,"Funny, emotional, and meaningful."
Three Idiots,"The movie teaches important life lessons."
Three Idiots,"Superb acting and excellent screenplay."
Three Idiots,"It was okay but a little lengthy."
Three Idiots,"Some scenes were boring."
Three Idiots,"I enjoyed every scene of this movie."
Three Idiots,"Brilliant direction and storytelling."
Three Idiots,"Average movie with a predictable ending."
Pushpa,"Fantastic performance by the lead actor."
Pushpa,"The songs and action scenes were amazing."
Pushpa,"Excellent entertainment from start to finish."
Pushpa,"I loved the background music."
Pushpa,"The dialogues were powerful and memorable."
Pushpa,"The story could have been better."
Pushpa,"It was an average movie overall."
Pushpa,"Too much violence for my liking."
Pushpa,"Great cinematography and visuals."
Pushpa,"Worth watching with friends and family."
